Recycle_Schedule,Residual Day,Primary Address Identifier,Secondary Address Identifier,Street,Locality
10,THURSDAY,22,,SOUTH DRIVE,WARLEY
10,THURSDAY,23,,SOUTH DRIVE,WARLEY
10,THURSDAY,24,,SOUTH DRIVE,WARLEY
10,THURSDAY,25,,SOUTH DRIVE,WARLEY
10,THURSDAY,26,,SOUTH DRIVE,WARLEY
10,THURSDAY,27,,SOUTH DRIVE,WARLEY
10,THURSDAY,28,,SOUTH DRIVE,WARLEY
4,FRIDAY,102,,BRENTWOOD ROAD,INGRAVE
10,THURSDAY,29,,SOUTH DRIVE,WARLEY
10,THURSDAY,30,,SOUTH DRIVE,WARLEY
10,THURSDAY,31,,SOUTH DRIVE,WARLEY
10,THURSDAY,32,,SOUTH DRIVE,WARLEY
10,THURSDAY,33,,SOUTH DRIVE,WARLEY
10,THURSDAY,34,,SOUTH DRIVE,WARLEY
10,THURSDAY,35,,SOUTH DRIVE,WARLEY
10,THURSDAY,36,,SOUTH DRIVE,WARLEY
10,THURSDAY,37,,SOUTH DRIVE,WARLEY
10,THURSDAY,38,,SOUTH DRIVE,WARLEY
4,FRIDAY,103,,BRENTWOOD ROAD,INGRAVE
10,THURSDAY,39,,SOUTH DRIVE,WARLEY
10,THURSDAY,40,,SOUTH DRIVE,WARLEY
10,THURSDAY,41,,SOUTH DRIVE,WARLEY
10,THURSDAY,42,,SOUTH DRIVE,WARLEY
10,THURSDAY,43,,SOUTH DRIVE,WARLEY
10,THURSDAY,44,,SOUTH DRIVE,WARLEY
10,THURSDAY,45,,SOUTH DRIVE,WARLEY
10,THURSDAY,46,,SOUTH DRIVE,WARLEY
10,THURSDAY,47,,SOUTH DRIVE,WARLEY
10,THURSDAY,48,,SOUTH DRIVE,WARLEY
4,FRIDAY,105,,BRENTWOOD ROAD,INGRAVE
10,THURSDAY,49,,SOUTH DRIVE,WARLEY
10,THURSDAY,50,,SOUTH DRIVE,WARLEY
10,THURSDAY,51,,SOUTH DRIVE,WARLEY
10,THURSDAY,52,,SOUTH DRIVE,WARLEY
10,THURSDAY,53,,SOUTH DRIVE,WARLEY
10,THURSDAY,54,,SOUTH DRIVE,WARLEY
10,THURSDAY,55,,SOUTH DRIVE,WARLEY
10,THURSDAY,56,,SOUTH DRIVE,WARLEY
10,THURSDAY,57,,SOUTH DRIVE,WARLEY
10,THURSDAY,58,,SOUTH DRIVE,WARLEY
4,FRIDAY,107,,BRENTWOOD ROAD,INGRAVE
10,THURSDAY,59,,SOUTH DRIVE,WARLEY
10,THURSDAY,60,,SOUTH DRIVE,WARLEY
10,THURSDAY,61,,SOUTH DRIVE,WARLEY
